customer_id,full_name,age,gender,marital_status,city,state,education,employment_type,years_of_experience,monthly_income,loan_id,loan_type,loan_amount,loan_tenure_months,interest_rate,emi_amount,loan_purpose,loan_application_date,loan_approval_status,credit_score,existing_loans,total_existing_debt,debt_to_income_ratio,collateral_value,co_applicant,repayment_status,missed_payments,default_status,days_past_due,recovery_amount
CUST10025,Vidya Chopra,26,Male,Married,Hyderabad,Telangana,Post Graduate,Business Owner,2,460090,LOAN20025,Car Loan,541000,60,9.46,11351,Used Car Purchase,2020-03-19,Approved,790,1,24208,0.08,563711,No,Defaulted,12,1,284,245826
CUST10026,Aarav Arora,43,Female,Married,Kolkata,West Bengal,Graduate,Salaried,24,155113,LOAN20026,Home Loan,7535000,180,11.51,88071,Home Purchase,2023-09-22,Approved,732,1,53279,0.91,9527037,,On Time,0,0,0,
CUST10027,Nilesh Rao,41,Male,Single,Surat,Gujarat,Post Graduate,Salaried,19,53588,LOAN20027,Car Loan,1462000,48,9.61,36806,Used Car Purchase,2023-10-19,Rejected,550,2,65620,1.91,1477592,Yes,,,,,
CUST10028,Mohan Pandey,28,Male,Married,Chennai,Tamil Nadu,Graduate,Self-Employed,8,223305,LOAN20028,Business Loan,3203000,60,12.36,71833,Working Capital,2022-11-12,Approved,697,1,72021,0.64,4714439,Yes,On Time,0,0,0,
CUST10029,Ankita Pillai,30,Male,Single,Pune,Maharashtra,Post Graduate,Self-Employed,7,214872,LOAN20029,Car Loan,950000,48,16.37,27103,New Car Purchase,2020-02-20,Approved,546,0,0,0.13,1075965,Yes,On Time,0,0,0,
CUST10030,Ganesh Reddy,50,Female,Single,Ahmedabad,Gujarat,Post Graduate,Self-Employed,29,175219,LOAN20030,Car Loan,811000,48,14.72,22455,New Car Purchase,2024-03-17,Approved,712,1,23970,0.26,773036,Yes,On Time,0,0,0,
CUST10031,Lata Desai,32,Male,Married,Ahmedabad,Gujarat,Graduate,Salaried,9,122616,LOAN20031,Personal Loan,537000,60,18.37,13744,Travel,2024-03-26,Approved,829,1,68008,0.67,699975,No,On Time,0,0,0,
CUST10032,Shruti Malhotra,47,Male,Married,Ahmedabad,Gujarat,Graduate,Salaried,25,40877,LOAN20032,Car Loan,818000,60,15.92,19857,Used Car Purchase,2023-07-07,Approved,565,0,0,0.49,698766,No,Late,1,0,10,
CUST10033,Hemant Reddy,21,Female,Married,Surat,Gujarat,Graduate,Business Owner,0,217607,LOAN20033,Business Loan,2294000,24,12.06,108050,Equipment Purchase,2023-01-16,Approved,782,3,213207,1.48,2167334,Yes,On Time,0,0,0,
CUST10034,Smita Garg,37,Male,Married,Chennai,Tamil Nadu,Post Graduate,Salaried,16,208255,LOAN20034,Home Loan,1549000,240,10.78,15757,Home Construction,2024-10-13,Approved,630,0,0,0.08,2035763,No,On Time,0,0,0,
CUST10035,Vikas Verma,38,Female,Single,Chennai,Tamil Nadu,12th Pass,Self-Employed,16,245913,LOAN20035,Business Loan,3891000,36,16.75,138241,Working Capital,2023-06-28,Approved,726,1,13534,0.62,4724938,No,On Time,0,0,0,
CUST10036,Deepak Gupta,39,Female,Married,Bangalore,Karnataka,Post Graduate,Self-Employed,18,48874,LOAN20036,Business Loan,3246000,36,12.5,108590,Equipment Purchase,2024-04-07,Approved,663,1,59692,3.44,4758126,No,On Time,0,0,0,
CUST10037,Ajay Menon,32,Male,Divorced,Delhi,Delhi,12th Pass,Salaried,13,238763,LOAN20037,Business Loan,1075000,24,15.8,52532,Working Capital,2021-02-12,Approved,748,1,12671,0.27,1039505,No,On Time,0,0,0,
CUST10038,Mahesh Iyer,25,Female,Married,Nagpur,Maharashtra,Post Graduate,Self-Employed,5,45537,LOAN20038,Car Loan,540000,48,18.11,15893,New Car Purchase,2023-03-31,Approved,582,0,0,0.35,649651,No,Defaulted,12,1,338,
CUST10039,Swati Pawar,32,Male,Single,Lucknow,Uttar Pradesh,Post Graduate,Self-Employed,12,48314,LOAN20039,Home Loan,2515000,120,11.32,35101,Home Construction,2023-09-16,Rejected,744,2,117142,3.15,,Yes,,,,,
CUST10040,Rohit Kapoor,40,Male,Single,Pune,Maharashtra,Post Graduate,Salaried,19,108394,LOAN20040,Business Loan,3538000,60,15.28,84689,Startup Funding,2020-12-26,Approved,749,3,235158,2.95,3499286,No,On Time,0,0,0,
CUST10041,Rekha Jain,28,Female,Married,Bangalore,Karnataka,Graduate,Business Owner,6,91150,LOAN20041,Car Loan,814000,36,10.57,26483,Used Car Purchase,2021-05-14,Approved,662,0,0,0.29,1031933,No,On Time,0,0,0,
CUST10042,Rahul Shinde,46,Male,Widowed,Hyderabad,Telangana,Graduate,Salaried,24,220434,LOAN20042,Home Loan,6500000,240,13.61,78994,Home Renovation,2021-01-26,Approved,741,4,84884,0.74,7049247,Yes,Late,2,0,51,
CUST10043,Abhishek Kumar,37,Male,Married,Bangalore,Karnataka,Post Graduate,Salaried,14,166614,LOAN20043,Car Loan,1148000,48,10.87,29598,Used Car Purchase,2022-08-27,Approved,681,1,79588,0.66,1719293,No,On Time,0,0,0,
CUST10044,Hemant Desai,34,Female,Single,Surat,Gujarat,12th Pass,Salaried,11,104504,LOAN20044,Car Loan,961000,36,15.67,33629,New Car Purchase,2021-01-27,Approved,758,0,0,0.32,954801,No,Late,1,0,19,
CUST10045,Hemant Iyer,38,Male,Married,Nagpur,Maharashtra,Graduate,Salaried,16,229958,LOAN20045,Business Loan,618000,36,10.52,20092,Business Expansion,2023-02-07,Approved,830,3,144870,0.72,549028,No,On Time,0,0,0,
CUST10046,Vijay Malhotra,41,Female,Single,Ahmedabad,Gujarat,Below 10th,Salaried,19,207374,LOAN20046,Business Loan,2046000,24,10.28,94677,Startup Funding,2020-08-21,Approved,669,0,0,0.46,1742900,No,On Time,0,0,0,
CUST10047,Nikhil Kumar,33,Male,Single,Delhi,Delhi,12th Pass,Business Owner,9,413934,LOAN20047,Business Loan,3991000,36,16.03,140370,Startup Funding,2022-07-11,Approved,779,4,272112,1.0,4836962,No,On Time,0,0,0,
CUST10048,Amol Pandey,32,Male,Widowed,Lucknow,Uttar Pradesh,Graduate,Salaried,9,176132,LOAN20048,Car Loan,855000,36,9.23,27280,New Car Purchase,2023-02-04,Approved,552,1,19838,0.27,928497,Yes,On Time,0,0,0,
CUST10049,Mohan Saxena,48,Male,Married,Pune,Maharashtra,Graduate,Salaried,29,222247,LOAN20049,Personal Loan,294000,36,16.17,10360,Wedding Expenses,2022-05-20,Approved,689,0,0,0.05,368483,Yes,On Time,0,0,0,
CUST10050,Nikhil Mittal,48,Male,Single,Surat,Gujarat,Below 10th,Salaried,28,157731,LOAN20050,Personal Loan,352000,48,8.87,8737,Travel,2023-12-04,Approved,750,1,62757,0.45,404916,No,On Time,0,0,0,
CUST10051,Nilesh Mittal,48,Male,Married,Bangalore,Karnataka,Post Graduate,Business Owner,24,107653,LOAN20051,Business Loan,1266000,36,18.08,45819,Business Expansion,2024-04-15,Approved,685,1,45325,0.85,1689067,Yes,On Time,0,0,0,
CUST10052,Sneha Choudhary,34,Male,Married,Lucknow,Uttar Pradesh,Graduate,Salaried,13,53997,LOAN20052,Home Loan,2265000,300,11.33,22742,Home Construction,2021-10-19,Approved,712,0,0,0.42,2334903,Yes,On Time,0,0,0,
CUST10053,Priya Patel,30,Female,Married,Ahmedabad,Gujarat,Graduate,Salaried,6,68265,LOAN20053,Home Loan,4138000,240,11.06,42881,Home Construction,2024-11-06,Approved,595,0,0,0.63,3313734,Yes,On Time,0,0,0,
CUST10054,Ankita Kapoor,22,Male,Married,Lucknow,Uttar Pradesh,Graduate,Salaried,1,204867,LOAN20054,Education Loan,1693000,60,9.74,35755,Abroad Studies,2020-09-25,Approved,664,0,0,0.17,2181896,,On Time,0,0,0,
CUST10055,Ashok Pawar,42,Female,Single,Kolkata,West Bengal,Graduate,Salaried,18,134017,LOAN20055,Car Loan,1458000,72,8.53,25942,New Car Purchase,2022-08-03,Approved,630,1,25396,0.38,1323542,No,On Time,0,0,0,
CUST10056,Vijay Malhotra,40,Male,Married,Delhi,Delhi,12th Pass,Salaried,19,144838,LOAN20056,Home Loan,6124000,180,11.72,72398,Home Renovation,2022-11-06,Approved,704,0,0,0.5,6083417,No,On Time,0,0,0,
CUST10057,Varsha Sharma,25,Male,Single,Bangalore,Karnataka,Post Graduate,Salaried,6,177798,LOAN20057,Education Loan,726000,120,13.88,11220,Abroad Studies,2022-09-29,Approved,627,1,29476,0.23,826942,Yes,On Time,0,0,0,
CUST10058,Rashmi Tiwari,48,Male,Single,Surat,Gujarat,Graduate,Salaried,25,170331,LOAN20058,Car Loan,1499000,72,10.07,27823,Used Car Purchase,2020-03-30,Approved,723,1,51704,0.47,1939195,No,On Time,0,0,0,
CUST10059,Arjun Kapoor,31,Male,Single,Mumbai,Maharashtra,12th Pass,Salaried,8,89146,LOAN20059,Home Loan,5713000,240,17.07,84102,Home Construction,2020-07-23,Approved,660,3,236811,3.6,4631776,Yes,Defaulted,7,1,436,1706711
CUST10060,Amit Pillai,37,Male,Married,Lucknow,Uttar Pradesh,Post Graduate,Business Owner,17,415853,LOAN20060,Home Loan,4687000,240,14.39,59616,Home Construction,2024-11-21,Approved,675,0,0,0.14,4519857,No,Defaulted,4,1,192,2095091
CUST10061,Madhuri Verma,53,Male,Married,Mumbai,Maharashtra,12th Pass,Salaried,31,120723,LOAN20061,Personal Loan,108000,36,11.44,3558,Debt Consolidation,2020-10-25,Approved,809,0,0,0.03,129184,Yes,On Time,0,0,0,
CUST10062,Ankita Patil,40,Male,Married,Ahmedabad,Gujarat,Graduate,Salaried,20,100735,LOAN20062,Home Loan,2700000,180,12.57,33401,Home Construction,2022-07-30,Approved,547,0,0,0.33,3858937,No,Late,8,1,691,1568739
CUST10063,Nisha Shinde,29,Female,Married,Ahmedabad,Gujarat,Graduate,Salaried,7,117664,LOAN20063,Personal Loan,258000,48,16.89,7429,Medical Emergency,2021-04-30,Approved,740,3,179958,1.59,310211,No,Late,2,0,1,
CUST10064,Pooja Gupta,38,Female,Single,Jaipur,Rajasthan,12th Pass,Self-Employed,19,180852,LOAN20064,Business Loan,4666000,48,16.03,132307,Working Capital,2023-05-28,Approved,631,0,0,0.73,4353809,No,On Time,0,0,0,
CUST10065,Anil Joshi,32,Female,Married,Lucknow,Uttar Pradesh,Graduate,Salaried,13,222370,LOAN20065,Personal Loan,91000,36,16.17,3206,Medical Emergency,2023-04-01,Approved,654,2,115646,0.53,78541,No,Defaulted,11,1,464,50663
CUST10066,Vidya Yadav,21,Female,Married,Bangalore,Karnataka,Graduate,Business Owner,0,216589,LOAN20066,Car Loan,918000,60,16.35,22495,Used Car Purchase,2020-06-03,Approved,651,3,85347,0.5,879380,No,On Time,0,0,0,
CUST10067,Priya Iyer,36,Male,Single,Pune,Maharashtra,Post Graduate,Self-Employed,15,169369,LOAN20067,Business Loan,616000,48,13.4,16648,Startup Funding,2022-01-24,Approved,725,2,88724,0.62,847426,Yes,Late,11,1,425,129781
CUST10068,Akash Saxena,42,Male,Married,Surat,Gujarat,Post Graduate,Business Owner,20,197357,LOAN20068,Business Loan,3925000,24,9.04,179384,Business Expansion,2021-09-15,Approved,611,0,0,0.91,,No,Late,11,1,519,1818450
CUST10069,Poonam Naidu,46,Male,Single,Lucknow,Uttar Pradesh,Graduate,Self-Employed,22,199521,LOAN20069,Car Loan,1326000,84,11.99,23400,Used Car Purchase,2020-03-08,Approved,644,1,58566,0.41,1473566,Yes,On Time,0,0,0,
CUST10070,Madhuri Menon,21,Male,Divorced,Mumbai,Maharashtra,12th Pass,Salaried,0,138824,LOAN20070,Education Loan,678000,60,18.15,17272,Postgraduate Studies,2020-07-06,Approved,799,0,0,0.12,825805,,On Time,0,0,0,
CUST10071,Pooja Pandey,35,Female,Divorced,Pune,Maharashtra,Graduate,Salaried,15,154664,LOAN20071,Car Loan,734000,84,9.88,12139,New Car Purchase,2021-11-03,Approved,738,1,29340,0.27,893415,No,Late,1,0,8,
CUST10072,Kavita Verma,34,Male,Widowed,Nagpur,Maharashtra,Post Graduate,Salaried,10,232189,LOAN20072,Business Loan,3505000,36,13.98,119758,Business Expansion,2020-12-22,Approved,742,1,44782,0.71,,No,On Time,0,0,0,
CUST10073,Swati Iyer,33,Female,Single,Kolkata,West Bengal,Graduate,Salaried,13,145914,LOAN20073,Business Loan,1414000,60,13.04,32201,Business Expansion,2024-01-29,Approved,645,0,0,0.22,1767978,,On Time,0,0,0,
CUST10074,Amol Kapoor,31,Male,Married,Surat,Gujarat,12th Pass,Salaried,10,137132,LOAN20074,Personal Loan,127000,12,11.04,11226,Wedding Expenses,2020-05-14,Approved,813,3,79620,0.66,157880,No,On Time,0,0,0,
CUST10075,Suresh Bhatia,25,Female,Single,Jaipur,Rajasthan,Graduate,Salaried,4,249296,LOAN20075,Car Loan,507000,36,16.88,18045,New Car Purchase,2022-05-30,Approved,721,1,69186,0.35,552462,Yes,On Time,0,0,0,
CUST10076,Nilesh Shinde,36,Male,Single,Hyderabad,Telangana,Below 10th,Salaried,13,152089,LOAN20076,Home Loan,7261000,300,8.24,57200,Home Purchase,2020-07-09,Approved,668,2,133212,1.25,,No,On Time,0,0,0,
CUST10077,Priya Bansal,21,Male,Single,Hyderabad,Telangana,12th Pass,Business Owner,2,475213,LOAN20077,Personal Loan,178000,48,11.39,4634,Debt Consolidation,2024-11-12,Approved,580,0,0,0.01,217211,No,On Time,0,0,0,
CUST10078,Hemant Joshi,43,Male,Single,Hyderabad,Telangana,Graduate,Self-Employed,23,25518,LOAN20078,Home Loan,4583000,120,15.89,76457,Home Renovation,2021-04-08,Approved,781,2,132488,8.19,6792842,Yes,Defaulted,7,1,119,2068534
CUST10079,Nikhil Pillai,31,Male,Married,Hyderabad,Telangana,Post Graduate,Self-Employed,7,131211,LOAN20079,Car Loan,680000,48,13.73,18490,Used Car Purchase,2020-05-22,Approved,661,0,0,0.14,1006581,,On Time,0,0,0,
CUST10080,Ashok Iyer,21,Female,Married,Bangalore,Karnataka,Graduate,Salaried,2,110430,LOAN20080,Education Loan,780000,120,14.06,12138,Undergraduate Studies,2020-11-14,Approved,821,0,0,0.11,651170,,On Time,0,0,0,
CUST10081,Rohit Jadhav,46,Male,Single,Delhi,Delhi,Post Graduate,Self-Employed,26,59231,LOAN20081,Business Loan,1454000,48,12.23,38453,Equipment Purchase,2023-10-20,Approved,506,1,73783,1.89,1477109,No,Defaulted,6,1,230,355828
CUST10082,Anand Sharma,31,Male,Married,Ahmedabad,Gujarat,Graduate,Salaried,12,56355,LOAN20082,Business Loan,4112000,36,8.92,130607,Working Capital,2022-10-21,Rejected,675,4,225684,6.32,,No,,,,,
CUST10083,Abhishek Saxena,30,Male,Divorced,Pune,Maharashtra,12th Pass,Salaried,8,86662,LOAN20083,Education Loan,1307000,84,13.81,24356,Abroad Studies,2023-08-04,Approved,617,2,129494,1.78,1416164,No,On Time,0,0,0,
CUST10084,Nisha Iyer,49,Female,Single,Pune,Maharashtra,Post Graduate,Salaried,28,111206,LOAN20084,Personal Loan,161000,24,12.29,7600,Debt Consolidation,2022-12-09,Approved,805,0,0,0.07,163767,Yes,On Time,0,0,0,
CUST10085,Anand Arora,36,Male,Married,Kolkata,West Bengal,Graduate,Salaried,13,186785,LOAN20085,Home Loan,4430000,240,15.5,59976,Home Renovation,2024-07-27,Approved,619,1,29358,0.48,3998123,No,On Time,0,0,0,
CUST10086,Deepak Kapoor,35,Male,Single,Ahmedabad,Gujarat,Graduate,Salaried,15,36570,LOAN20086,Personal Loan,657000,48,14.99,18281,Travel,2024-11-04,Rejected,694,1,51436,1.91,557004,Yes,,,,,
CUST10087,Manish Jain,31,Male,Married,Mumbai,Maharashtra,Graduate,Self-Employed,9,141751,LOAN20087,Home Loan,5755000,120,10.91,78982,Home Construction,2020-03-18,Approved,699,2,34912,0.8,5760489,No,On Time,0,0,0,
CUST10088,Rakesh Saxena,40,Male,Single,Jaipur,Rajasthan,Post Graduate,Salaried,20,238803,LOAN20088,Personal Loan,93000,48,17.5,2707,Wedding Expenses,2021-10-20,Approved,554,0,0,0.01,136747,No,On Time,0,0,0,
CUST10089,Amit Bhatia,42,Female,Married,Lucknow,Uttar Pradesh,Post Graduate,Salaried,19,135120,LOAN20089,Home Loan,1828000,180,15.28,25935,Home Construction,2022-12-09,Approved,729,4,314068,2.52,1928043,No,On Time,0,0,0,
CUST10090,Ajay Pillai,38,Male,Married,Pune,Maharashtra,Post Graduate,Salaried,16,181919,LOAN20090,Home Loan,2292000,300,10.63,21853,Home Renovation,2024-10-10,Approved,696,3,89127,0.61,2768547,No,Late,2,0,9,
CUST10091,Neha Kumar,45,Female,Married,Bangalore,Karnataka,Post Graduate,Salaried,25,159160,LOAN20091,Home Loan,4659000,240,16.45,66396,Home Renovation,2023-12-10,Approved,673,0,0,0.42,,Yes,On Time,0,0,0,
CUST10092,Girish Pillai,46,Male,Married,Ahmedabad,Gujarat,Graduate,Self-Employed,23,109250,LOAN20092,Car Loan,775000,48,9.2,19359,Used Car Purchase,2024-09-25,Approved,608,3,69768,0.82,912825,No,On Time,0,0,0,
CUST10093,Ankita Mehta,41,Female,Widowed,Jaipur,Rajasthan,Graduate,Self-Employed,20,132540,LOAN20093,Personal Loan,211000,24,9.49,9686,Wedding Expenses,2024-01-16,Approved,683,1,67366,0.58,,No,Late,2,0,15,
CUST10094,Yogesh Patil,30,Male,Married,Bangalore,Karnataka,Graduate,Salaried,9,104789,LOAN20094,Personal Loan,253000,36,14.96,8765,Debt Consolidation,2022-08-03,Approved,796,0,0,0.08,291464,Yes,On Time,0,0,0,
CUST10095,Rashmi Shinde,21,Female,Single,Mumbai,Maharashtra,Post Graduate,Self-Employed,2,45035,LOAN20095,Car Loan,1307000,60,13.6,30141,New Car Purchase,2023-12-27,Rejected,583,3,232863,5.84,1306404,No,,,,,
CUST10096,Madhuri Bhatia,55,Male,Widowed,Nagpur,Maharashtra,Graduate,Business Owner,34,338837,LOAN20096,Car Loan,492000,48,16.48,14064,Used Car Purchase,2020-02-24,Approved,626,1,64381,0.23,,Yes,On Time,0,0,0,
CUST10097,Abhishek Nair,29,Female,Married,Pune,Maharashtra,12th Pass,Business Owner,10,446541,LOAN20097,Business Loan,3312000,36,9.01,105336,Equipment Purchase,2024-08-26,Approved,635,4,287700,0.88,2971376,Yes,Defaulted,7,1,310,1240019
CUST10098,Rekha Mittal,42,Male,Married,Kolkata,West Bengal,Graduate,Salaried,21,145819,LOAN20098,Car Loan,533000,60,10.11,11353,New Car Purchase,2020-04-07,Approved,763,1,41252,0.36,722603,Yes,On Time,0,0,0,
CUST10099,Abhishek Bhatia,29,Female,Widowed,Jaipur,Rajasthan,Post Graduate,Self-Employed,6,203467,LOAN20099,Education Loan,1606000,60,10.7,34678,Undergraduate Studies,2023-06-13,Approved,648,0,0,0.17,1753105,No,Defaulted,11,1,647,954230
CUST10100,Priya Verma,42,Male,Single,Chennai,Tamil Nadu,Graduate,Self-Employed,21,41316,LOAN20100,Business Loan,865000,60,18.29,22102,Equipment Purchase,2024-03-10,Approved,603,1,12128,0.83,732907,No,On Time,0,0,0,
CUST10101,Sunita Pillai,30,Female,Married,Nagpur,Maharashtra,Graduate,Business Owner,6,406815,LOAN20101,Education Loan,838000,120,11.22,11648,Abroad Studies,2020-12-24,Approved,763,3,212697,0.55,951106,No,On Time,0,0,0,
CUST10102,Aditya More,39,Female,Married,Delhi,Delhi,Post Graduate,Salaried,15,223195,LOAN20102,Business Loan,2173000,24,10.97,101248,Equipment Purchase,2022-11-21,Approved,748,0,0,0.45,2564403,No,On Time,0,0,0,
CUST10103,Swati Gupta,45,Male,Married,Lucknow,Uttar Pradesh,Post Graduate,Salaried,23,26436,LOAN20103,Home Loan,3791000,120,16.29,64191,Home Construction,2024-12-26,Approved,614,1,62431,4.79,5406899,No,On Time,0,0,0,
CUST10104,Jyoti Arora,41,Male,Married,Bangalore,Karnataka,12th Pass,Self-Employed,17,171554,LOAN20104,Business Loan,4060000,24,12.24,191573,Working Capital,2023-01-22,Approved,571,0,0,1.12,3475555,No,Late,2,0,23,
CUST10105,Sanjay Patel,30,Male,Married,Surat,Gujarat,12th Pass,Salaried,8,102823,LOAN20105,Education Loan,1389000,84,10.52,23433,Undergraduate Studies,2020-06-02,Approved,695,0,0,0.23,1890105,No,Late,2,0,3,
CUST10106,Anil Singh,38,Male,Single,Delhi,Delhi,Graduate,Salaried,19,198341,LOAN20106,Car Loan,1068000,60,11.71,23600,New Car Purchase,2023-05-24,Approved,637,1,30111,0.27,1563740,Yes,Late,2,0,21,
CUST10107,Deepika Jadhav,21,Male,Married,Delhi,Delhi,Graduate,Salaried,0,43535,LOAN20107,Education Loan,154000,120,9.55,1996,Abroad Studies,2022-03-03,Approved,504,2,50870,1.21,151259,Yes,Late,2,0,13,
CUST10108,Anand Mehta,32,Female,Married,Pune,Maharashtra,Graduate,Salaried,11,86698,LOAN20108,Business Loan,1948000,60,18.47,49965,Equipment Purchase,2023-09-29,Approved,588,1,55537,1.22,2308376,No,On Time,0,0,0,
CUST10109,Nisha Mishra,23,Female,Married,Hyderabad,Telangana,Post Graduate,Salaried,3,220440,LOAN20109,Education Loan,570000,60,18.34,14579,Undergraduate Studies,2021-04-29,Approved,795,2,149504,0.74,,No,On Time,0,0,0,
